# 四级短语表 · 共 2707 条 · 每 50 条一个单元
# 短语来源：2ndLA/english-phrases · CET-4 短语表（CC BY-SA 4.0）；释义来源：ECDICT（MIT License）
单词,音标,中文释义,英文释义
a bill of fare,,菜单：一份列有餐厅或酒吧提供的菜肴和饮品的清单。,
a bit,,一点儿；有一点儿,
a case in point,,恰当的例子,
a couple of,,"一对..., 三两个...",
a far cry,,"遥远的距离, 大不相同的东西",
a few,,"几个, 少数, 一些",
a good deal,,许多,
a good few,,相当多,
a good many,,很多,
a great deal,,大量,
a great many,,许许多多,
a hard nut to crack,,棘手的问题,
a little,,"一些, 一点点, 一点儿, 稍微, 些许",
a lot of,,许多的,
a number of,,许多的,
a piece of cake,,轻松的事,
a point of view,,观点,
a sea of,,大量的、许多的某物,
a series of,,"一系列..., 一批...",
a variety of,,"各种各样的..., 种种...",
abandon oneself to,,沉溺于,
abide by,,遵守; 信守; 忠于（某人）; 接受,
abound in,,v. 富于; 盛产,
above all,,"尤其是, 首先",
above board,,"公开地, 光明正大地",
above one's head,,"不能理解, 太深奥",
according as,,"依据, 按照, 如果",
according to,,"根据, 按照；取决于；据…所说",
account for,,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占,
accuse of,,指责，控告,
accuse sb. of sth.,,控告某人做了某事,
across the board,,"全面地, 包括所有人在内",
act for,,代理,
act on,,"按...行动, 作用于；[机] 作用于",
act out,,"将...表演出来, 将...付诸行动",
act up,,"运作不正常, 调皮",
adapt to,,适应…;适合…,
add in,,把...包括在内；[计] 添加,
add on,,"（在计算或目录的末尾额外）加上, 附加",
add up,,合计,
add up to,,合计达,
adhere to,,"执着于,坚持,粘附于,信奉…",
admire to do sth.,,钦佩去做某事：表示对某人为了实现某个目标或完成某个任务而付出努力的敬佩和赞赏。,
admit of,,"承认,坦白",
admit to,,准许进入,
advertise for,,"为…作广告,登广告招聘…",
affect to,/əˈfekt tu/,对某人或某物产生影响，或导致某人或某物发生变化：指影响某人或某物，使其发生变化。,
afford to,,后接动词不定式，多与 can/could 连用：有足够金钱、时间或条件做某事（如买得起、支付得起）；能承担做某事可能带来的后果、风险或代价，常用于否定句,
after a little,,过了一会儿,
after all,,毕竟,
again and again,,"再三地, 反复地",
agree on,,"就…取得一致意见,商定",
agree to,,"同意,赞成…",
agree with,,"同意…,与…意见一致;适应…",
ahead of,,在…之前,
ahead of schedule,,提前,
ahead of time,,提早,
aim for,,计划， 打算,
all along,,"始终, 一直",
all at once,,"突然, 同时；[计] 整批发送",
all but,,"几乎, 差一点",
all in all,,"总而言之, 合计, 头等重要的东西",
all manner of,,各种各类的,
all of a sudden,,突然,
all one's life,,一生,
all out,,竭尽全力,
all over,,"全部结束, 到处, 浑身",
all over again,,"完全重做,从头开始",
all right,,"好, 顺利, 良好的, 正确的",
all round,,"周围, 四处",
all the rest,/ɔːl ðə rest/,其他所有的,
all the same,,仍然,
all the time,,始终,
all the way,,"从远道, 自始至终, 一路上",
all the while,,"一直, 始终",
all things considered,,从全面考虑,
all thumbs,,笨手笨脚的,
all too,,太,
allow for,,"虑及, 体谅",
allow of,,容许,
along with,,"与…一道,与…一起,连同…",
amount to,,"[经] 等于, 相当于",
and all that,,诸如此类,
and so,,adv. 因此,
and so forth,,等等,
and so on,,等等,
and that,,而且,
and the like,,等等；[经] 依次类推,
and then,,"于是, 然后",
and what not,,"诸如此类, 等等",
answer for,,符合（…需要）; 对…负责; 充当…; 许诺,
answer sb. back,,（与某人）顶嘴，回嘴,
answer up,,迅速回答,
any longer,,"再, 仍再",
any more,,(不)再,
any number of,,许多,
anything but,,"单单除...之外, 决不",
anything like,,"像…的东西;几乎,将近,差不多;全然,根本",
apart from,,除了...之外,
appeal to,,[法] 诉诸...,
apply for,,"申请,请求,要求…",
apply oneself to,,致力于,
approve of,,"赞成,批准…",
arm in arm,,臂挽臂,
around the corner,,"在拐角处, 在附近, 即将来临",
arrive at,,"到达, 达到",
as a matter of fact,,事实上,
as a result,,结果,
as a result of,,作为结果,
