序号,单词,音标,词性,中文释义,英文例句,分类,小节
1,time,/taɪm/,n.,时间；次数，倍数,Long time no see. 好久不见。 | They can change their minds 200 times. 他们可 以改变主意200 次。,Level 1,Day 1
2,now,/naʊ/,adv.,现在,I see things differently now. 现在，我看问题的 方法不一样了。,Level 1,Day 1
3,then,/ðen/,adv.,那时；然后,since then 从那以后,Level 1,Day 1
4,today,/təˈdeɪ/,adv./n.,今天,Yesterday is history. Tomorrow is mystery. today is a gift. 昨日已逝，明天尚远，今天才是上天 赐予的礼物。,Level 1,Day 1
5,yesterday,/ˈjestərdeɪ/,adv./n.,昨天,,Level 1,Day 1
6,tomorrow,/təˈmɑːroʊ/,adv./n.,明天,,Level 1,Day 1
7,period,/ˈpɪriəd/,n.,时期,This crisis might last for a long period of time. 此 次危机可能会持续很长一段时间。,Level 1,Day 1
8,date,/deɪt/,n.,日期,out of date 过时的 | up to date 最新的,Level 1,Day 1
9,day,/deɪ/,n.,一天,Take the medicine three times a day. 每日服药 三次。 But 10. week /wiːk/ | We'll get together next week. 我们下周要聚一聚。,Level 1,Day 1
11,month,/mʌnθ/,n.,月,,Level 1,Day 1
12,year,/jɪr/,n.,年,,Level 1,Day 1
13,decade,/ˈdekeɪd/,n.,十年,over the past decade 在过去的十年,Level 1,Day 1
14,century,/ˈsentʃəri/,n.,世纪,in the 19th century 在19 世纪,Level 1,Day 1
15,next,/nekst/,adj.,/adv. /n. 下一个,,Level 1,Day 1
16,ahead,/əˈhed/,adv.,提前,Let's try to plan ahead. 咱们尽量提前计划。,Level 1,Day 1
17,second,/ˈsekənd/,num.,第二,the Second World War 二战 | a 10-second video 一个10 秒的视频,Level 1,Day 1
18,minute,/ˈmɪnɪt/,n.,分钟,13 minutes 48 seconds 13 分48 秒,Level 1,Day 1
19,hour,/ˈaʊər/,n.,小时,an hour 一小时,Level 1,Day 1
20,morning,/ˈmɔːrnɪŋ/,n.,早晨,the morning papers 晨报,Level 1,Day 1
21,afternoon,/ˌæftərˈnuːn/,n.,下午 4<< 零基础词汇讲义Level 1,,Level 1,Day 1
23,night,/naɪt/,n.,夜晚,She worked day and night to finish the project. 为了完 成这个项目，她日日夜夜工作。,Level 1,Day 1
24,weekend,/ˈwiːkend/,n.,周末,Let's go fishing this weekend. 咱们这个周末去 钓鱼吧。,Level 1,Day 1
25,season,/ˈsiːzn/,n.,季节；季,They hope to play well this season. 他们希望本 赛季打得好,Level 1,Day 1
26,spring,/sprɪŋ/,n.,春天,Spring Festival 春节,Level 1,Day 1
27,summer,/ˈsʌmər/,n.,夏天,a,Level 1,Day 1
28,fall,/fɔːl/,n.,秋天,Fall is the season between summer and winter. 秋 天是夏天和冬天之间的季节。 | The numbers are now falling. 数字现在正在 下降。,Level 1,Day 1
29,winter,/ˈwɪntər/,n.,冬天,,Level 1,Day 1
30,after,/ˈæftər/,prep./conj.,在……之后,Anna will drive me home after work. 下班后安娜 会开车送我回家。,Level 1,Day 1
31,before,/bɪˈfɔːr/,prep./conj.,在……之前,the day before yesterday 前天,Level 1,Day 1
32,during,/ˈdʊrɪŋ/,prep.,在......的期间,during the 1960s 在20 世纪60 年代期间,Level 1,Day 1
